Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8
1,0,0,0,1,1,0,0
1,1,1,0,1,0,0,0
0,0,0,0,1,1,0,0
1,0,1,0,0,1,1,1
1,0,0,0,1,1,0,0
0,0,1,0,0,0,0,0
1,1,1,0,0,1,0,1
0,0,1,0,1,1,0,0
0,0,1,0,1,0,0,0
1,1,0,0,1,1,1,0
0,1,1,0,1,0,0,1
1,0,1,0,0,1,1,0
1,1,1,0,1,1,1,0
1,0,0,1,1,1,1,1
0,0,0,0,0,1,1,0
0,0,0,0,0,1,0,0
0,1,1,0,1,1,1,0
1,0,1,1,0,1,0,0
0,1,1,0,1,1,0,0
1,0,1,0,0,0,0,0
1,1,0,0,1,1,1,0
0,0,1,0,1,1,0,0
1,1,0,0,1,1,0,0
1,0,1,0,1,1,0,0
1,0,1,0,0,0,1,1
1,0,0,0,1,1,0,0
1,0,0,1,0,1,0,0
1,1,1,0,1,1,0,1
1,1,1,0,0,1,1,1
1,0,0,0,0,0,0,1
1,0,0,0,0,1,1,1
0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0
1,1,0,0,1,1,1,0
0,1,1,0,0,1,0,1
0,0,0,0,1,1,0,0
1,1,1,0,1,1,1,0
0,0,0,0,1,1,0,0
1,0,0,0,1,1,0,0
1,0,0,0,0,1,0,0
1,1,1,0,1,1,0,0
1,0,0,1,1,1,0,1
0,0,1,0,1,1,1,0
0,1,1,0,1,1,0,1
1,1,0,0,1,1,1,0
1,1,1,0,1,1,0,0
0,0,0,0,0,1,0,0
0,0,0,0,1,0,0,0
